2011	02	17	23	45	00	-23.69
2011	02	18	00	15	00	-23.78
2011	02	18	01	15	00	-24.11
2011	02	18	02	15	00	-23.71
2011	02	18	03	15	00	-24.21
2011	02	18	04	15	00	-24.97
2011	02	18	05	15	00	-25.82
2011	02	18	06	15	00	-26.98
2011	02	18	07	15	00	-27.02
2011	02	18	08	15	00	-26.71
2011	02	18	09	15	00	-26.51
2011	02	18	10	15	00	-23.70
2011	02	18	11	15	00	-20.58
2011	02	18	12	15	00	-18.74
2011	02	18	13	15	00	-17.62
2011	02	18	14	15	00	-17.33
2011	02	18	15	15	00	-17.01
2011	02	18	16	15	00	-17.48
2011	02	18	17	15	00	-18.85
2011	02	18	18	15	00	-20.69
2011	02	18	19	15	00	-20.37
2011	02	18	20	15	00	-21.05
2011	02	18	21	15	00	-21.77
2011	02	18	22	15	00	-22.59
2011	02	18	23	15	00	-22.94
2011	02	18	00	45	00	-23.71
2011	02	18	01	45	00	-24.47
2011	02	18	02	45	00	-23.46
2011	02	18	03	45	00	-23.87
2011	02	18	04	45	00	-25.62
2011	02	18	05	45	00	-26.52
2011	02	18	06	45	00	-27.04
2011	02	18	07	45	00	-26.84
2011	02	18	08	45	00	-27.03
2011	02	18	09	45	00	-25.35
2011	02	18	10	45	00	-22.30
2011	02	18	11	45	00	-19.34
2011	02	18	12	45	00	-18.06
2011	02	18	13	45	00	-17.14
2011	02	18	14	45	00	-17.16
2011	02	18	15	45	00	-17.12
2011	02	18	16	45	00	-18.20
2011	02	18	17	45	00	-20.11
2011	02	18	18	45	00	-20.42
2011	02	18	19	45	00	-20.24
2011	02	18	20	45	00	-21.28
2011	02	18	21	45	00	-22.26
2011	02	18	22	45	00	-22.64
2011	02	18	23	45	00	-23.27
2011	02	19	00	15	00	-23.44
